"transport.Date","Fiscal.Unit","Dest.City..SAP.","Dest.State","First.geography","Second.geography","Dest.Code","current.frei.cost","Distance.gps","Total.pallet","Total.weight","filling.rate","Nu.shipment","Nu.RoRo.cust","Re.pal.cust","Lookup.cust","Cost.cust","S.Truck.size.cust","S.Truck.code.cust","Lookup.cust.other","Other.cost.cust","shipment.cust","Shipment.cust.rodo","cost.diff.cust"
2016-08-01,7032,"Osasco","SP","Osasco","Metropolitana de Sao Paulo",659338,10459.26,138.171825308365,153.844917582418,136955.83,84.5406358024691,6,3,9.84491758241759,"7032-OSASCO-BR012",7321.482,12,"BR020","7032-OSASCO-BR020",1325.23,1,0,-1812.548
2016-08-01,7032,"Sao Paulo","SP","Sao Paulo","Metropolitana de Sao Paulo",5085216,1683.12,153.196369794413,25,24500,90.7407407407407,1,0,25,"7032-SAO PAULO-BR012",0,28,"BR024","7032-SAO PAULO-BR024",1683.12,1,0,0
2016-08-01,7032,"Santo Andre","SP","Sao Paulo","Metropolitana de Sao Paulo",3025769,2968.98,168.597057498656,55.3846153846154,48262.2,89.3744444444444,2,1,7.3846153846154,"7032-SANTO ANDRE-BR012",2078.286,8,"BR065","7032-SANTO ANDRE-BR065",944.7325,1,0,54.0385000000001
2016-08-01,7032,"Sao Bernardo do Campo","SP","Sao Paulo","Metropolitana de Sao Paulo",723336,7546.62,172.39691112867,116.844977340487,95629.31,88.5456574074074,4,2,20.8449773404871,"7032-SAO BERNARDO DO CAMPO-BR012",5160.204,28,"BR024","7032-SAO BERNARDO DO CAMPO-BR024",1842.93,1,0,-543.486
2016-08-01,7032,"Taubate","SP","Sao Jose dos Campos","Vale do Paraiba Paulista",2027253,1512.36,199.817380518978,11.9554463587839,8809.14,81.5661111111111,1,0,11.9554463587839,"7032-TAUBATE-BR012",0,12,"BR020","7032-TAUBATE-BR020",1512.36,1,0,0
2016-08-01,7032,"Brasilia","DF","Brasilia","Distrito Federal",3965425,3732.88,711.434407722041,27.8369519614013,21622.1,80.0818518518519,1,0,27.8369519614013,"7032-BRASILIA-BR012",0,28,"BR024","7032-BRASILIA-BR024",3732.88,1,0,0
2016-08-01,7032,"Teixeira De Freitas","BA","Porto Seguro","Sul Baiano",925239,6376.815,962.124359994424,27.9894335756585,23025.89,85.2810740740741,1,0,27.9894335756585,"7032-TEIXEIRA DE FREITAS-BR012",0,28,"BR024","7032-TEIXEIRA DE FREITAS-BR024",6376.815,1,0,0
2016-08-01,7032,"Palmas","TO","Porto Nacional","Oriental do Tocantins",646963,6197.04,1353.83203364686,27.8787090277926,21279.63,78.8134444444444,1,0,27.8787090277926,"7032-PALMAS-BR012",0,28,"BR024","7032-PALMAS-BR024",6197.04,1,0,0
2016-08-01,7032,"Juazeiro","BA","Juazeiro","Vale Sao-Franciscano da Bahia",1143565,10209.16,1616.24132024416,28.1037088366264,22023.87,81.5698888888889,1,0,28.1037088366264,"7032-JUAZEIRO-BR012",0,28,"BR024","7032-JUAZEIRO-BR024",10209.16,1,0,0
2016-08-01,7032,"Paripiranga","BA","Ribeira do Pombal","Nordeste Baiano",2552491,10086.02,1649.1306695265,27.6381065989002,22373.02,82.863037037037,1,0,27.6381065989002,"7032-PARIPIRANGA-BR012",0,28,"BR024","7032-PARIPIRANGA-BR024",10086.02,1,0,0
