"Dest.State","Dest.Code","Current.cost","Current.shipment","Total.weight.tons","Filling.rate","New.cost","Total.Rodo.shipment","Other.shipment","Cost.diff","Distance"
"AL",940117,1046498.94,95,2176.93183,0.844349681386515,1052292.7168,22,65,5793.77680000011,1890.51598654364
"BA",925239,359449.32,56,1251.65372,0.827909320987654,367043.891688,5,51,7594.57168800005,962.124359994424
"BA",5097777,148858.82,22,478.78654,0.806037946127946,151290.272,0,22,2431.45199999999,1081.8489070098
"BA",1301428,168836.36,22,478.33905,0.805284595959596,168836.36,0,22,0,1167.6232609341
"BA",723335,1473328.51,143,3445.79305,0.890893605175688,1457112.26719,32,104,-16216.24281,1428.10900618839
"BA",1489016,365186.1,38,901.08214,0.878166651234568,368491.475276,2,36,3305.37527600001,1428.10900618839
"BA",1928761,299366.95,34,751.12439,0.818218289760349,300709.32,0,34,1342.37,1440.75946958555
"BA",1143565,366316.76,36,792.30835,0.815132047325103,367529.76,0,36,1213,1616.24132024416
"BA",2552491,530229.07,50,1135.72835,0.841280259259259,516404.224,0,50,-13824.846,1649.1306695265
"CE",5113784,77374.86,6,133.52221,0.824211172839506,77374.86,0,6,0,1887.83795357425
"CE",723330,947037.96,64,1412.73736,0.817191666666667,951229.60225,2,62,4191.64224999992,2268.96105728278
"DF",3965425,272500.24,73,1615.20303,0.821213619341564,276699.73,11,60,4199.48999999999,711.434407722041
"DF",723325,434133.944,116,2658.02137,0.848314528682818,448925.481,19,95,14791.537,724.94580339
"DF",917531,291164.64,78,1736.70562,0.822390908203903,289858.132,11,62,-1306.50800000003,732.952194471471
"ES",4119717,744696.29,153,3472.56736,0.842866620634921,749474.367056,39,105,4778.07705600001,756.46860984592
"GO",5014992,343465.52,106,2282.17163,0.791241578341522,339593.215,38,56,-3872.30499999999,650.237543275721
"GO",4113123,220451.92,68,1513.11778,0.827572743606702,221100.308,11,56,648.388000000006,654.469840760656
"MA",4205182,566980.36,61,1325.01773,0.806136234567901,572557.216,4,57,5576.85600000003,1876.53110835787
